iter	Passed	Remaining
656	3444	1798
657	3448	1792
658	3455	1787
659	3459	1782
660	3465	1777
661	3469	1771
662	3476	1767
663	3482	1762
664	3487	1757
665	3492	1751
666	3497	1746
667	3502	1740
668	3506	1735
669	3511	1729
670	3515	1723
671	3520	1718
672	3528	1714
673	3534	1709
674	3539	1704
675	3545	1699
676	3550	1694
677	3555	1688
678	3560	1683
679	3566	1678
680	3570	1672
681	3575	1667
682	3581	1662
683	3587	1657
684	3591	1651
685	3596	1646
686	3601	1641
687	3607	1635
688	3611	1630
689	3616	1624
690	3620	1619
691	3625	1613
692	3630	1608
693	3635	1602
694	3639	1597
695	3644	1591
696	3649	1586
697	3653	1580
698	3658	1575
699	3663	1569
700	3667	1564
701	3673	1559
702	3678	1553
703	3682	1548
704	3687	1543
705	3691	1537
706	3696	1532
707	3701	1526
708	3706	1521
709	3710	1515
710	3715	1510
711	3720	1504
712	3726	1499
713	3730	1494
714	3735	1489
715	3740	1483
716	3745	1478
717	3752	1473
718	3758	1468
719	3763	1463
720	3768	1458
721	3774	1453
722	3779	1448
723	3784	1442
724	3789	1437
725	3793	1431
726	3798	1426
727	3803	1421
728	3807	1415
729	3812	1410
730	3817	1404
731	3821	1399
732	3826	1393
733	3830	1388
734	3835	1382
735	3840	1377
736	3844	1371
737	3850	1366
738	3855	1361
739	3859	1356
740	3864	1350
741	3868	1345
742	3873	1339
743	3878	1334
744	3883	1329
745	3889	1324
746	3894	1319
747	3899	1313
748	3904	1308
749	3910	1303
750	3914	1298
751	3921	1293
752	3926	1287
753	3931	1282
754	3936	1277
755	3942	1272
756	3946	1266
757	3952	1261
758	3957	1256
759	3961	1251
760	3967	1246
761	3972	1240
762	3977	1235
763	3984	1230
764	3988	1225
765	3993	1219
766	3998	1214
767	4003	1209
768	4008	1204
769	4014	1199
770	4019	1193
771	4023	1188
772	4028	1182
773	4032	1177
774	4036	1172
775	4042	1166
776	4048	1161
777	4053	1156
778	4058	1151
779	4064	1146
780	4069	1141
781	4074	1135
782	4079	1130
783	4083	1125
784	4088	1119
785	4092	1114
786	4097	1108
787	4101	1103
788	4106	1098
789	4111	1093
790	4117	1088
791	4123	1082
792	4127	1077
793	4132	1072
794	4137	1066
795	4142	1061
796	4146	1056
797	4151	1050
798	4156	1045
799	4162	1040
800	4167	1035
801	4172	1030
802	4176	1024
803	4181	1019
804	4186	1014
805	4191	1008
806	4195	1003
807	4201	998
808	4206	993
809	4211	987
810	4216	982
811	4252	984
812	4271	982
813	4280	978
814	4292	974
815	4302	970
816	4306	964
817	4311	959
818	4315	953
819	4320	948
820	4324	942
821	4329	937
822	4334	932
823	4338	926
824	4342	921
825	4347	915
826	4352	910
827	4356	905
828	4361	899
829	4366	894
830	4371	889
831	4377	883
832	4381	878
833	4386	873
834	4392	867
835	4396	862
836	4401	857
837	4406	851
838	4411	846
839	4416	841
840	4421	835
841	4426	830
842	4431	825
843	4436	820
844	4441	814
845	4446	809
846	4451	804
847	4457	798
848	4462	793
849	4467	788
850	4472	783
851	4477	777
852	4481	772
853	4487	767
854	4491	761
855	4496	756
856	4500	751
857	4505	745
858	4510	740
859	4516	735
860	4522	730
861	4529	725
862	4534	719
863	4539	714
864	4545	709
865	4551	704
866	4558	699
867	4564	694
868	4569	688
869	4575	683
870	4580	678
871	4586	673
872	4595	668
873	4600	663
874	4605	657
875	4610	652
876	4617	647
877	4622	642
878	4627	637
879	4632	631
880	4637	626
881	4642	621
882	4648	615
883	4653	610
884	4658	605
885	4663	600
886	4668	594
887	4672	589
888	4677	584
889	4681	578
890	4686	573
891	4691	568
892	4696	562
893	4700	557
894	4705	551
895	4709	546
896	4714	541
897	4718	535
898	4723	530
899	4728	525
900	4732	520
901	4737	514
902	4742	509
903	4747	504
904	4751	498
905	4756	493
906	4760	488
907	4765	482
908	4770	477
909	4776	472
910	4781	467
911	4785	461
912	4790	456
913	4795	451
914	4799	445
915	4804	440
916	4809	435
917	4815	430
918	4820	424
919	4825	419
920	4829	414
921	4835	409
922	4840	403
923	4845	398
924	4849	393
925	4854	387
926	4859	382
927	4866	377
928	4870	372
929	4875	366
930	4880	361
931	4886	356
932	4890	351
933	4895	345
934	4900	340
935	4906	335
936	4911	330
937	4916	324
938	4921	319
939	4926	314
940	4931	309
941	4936	303
942	4941	298
943	4946	293
944	4950	288
945	4955	282
946	4960	277
947	4964	272
948	4969	267
949	4973	261
950	4978	256
951	4982	251
952	4989	246
953	4995	240
954	4999	235
955	5004	230
956	5008	225
957	5013	219
958	5018	214
959	5022	209
960	5027	204
961	5031	198
962	5036	193
963	5041	188
964	5045	183
965	5050	177
966	5054	172
967	5059	167
968	5064	162
969	5069	156
970	5073	151
971	5078	146
972	5083	141
973	5087	135
974	5092	130
975	5097	125
976	5102	120
977	5107	114
978	5112	109
979	5117	104
980	5122	99
981	5126	93
982	5131	88
983	5137	83
984	5142	78
985	5148	73
986	5154	67
987	5159	62
988	5164	57
989	5169	52
990	5174	46
991	5179	41
992	5185	36
993	5191	31
994	5196	26
995	5202	20
996	5219	15
997	5229	10
998	5238	5
999	5246	0
